Carat,Cut,Color,Clarity,Depth,Table,Price
0.21,Premium,E,SI1,59.8,61,326
0.23,Ideal,E,SI2,61.5,55,326
0.23,Good,E,VS1,56.9,65,327
0.29,Premium,I,VS2,62.4,58,334
0.31,Good,J,SI2,63.3,58,335
0.32,Premium,E,I1,60.9,58,345
0.3,Premium,I,VVS1,62.2,58,552
0.3,Ideal,D,SI1,,56,552
0.24,Premium,G,VVS1,62.3,59,554
0.26,Very Good,E,VVS1,63.4,59,554
0.26,Very Good,D,,62.1,60,554
0.26,Ideal,E,VVS2,62.9,58,554
0.26,Good,E,VVS1,57.9,60,554
0.38,Ideal,I,SI2,61.6,56,554
0.41,Ideal,F,VVS2,61.7,57,1192
0.42,Very Good,H,VVS1,62.2,56,1193
0.57,Premium,E,IF,59.8,60,2753
0.61,Premium,,,61.8,59,2753
0.74,Good,D,SI1,63.1,59,2753
0.77,Ideal,E,SI2,62.1,56,2753
0.8,Good,G,VS2,64.2,,2753
0.84,Good,I,VS1,63.7,59,2753
,Fair,H,SI2,64.4,57,2763
1.17,Very Good,J,I1,60.2,61,2774
0.54,Ideal,E,VVS2,61.6,56,2776
0.71,Premium,E,VS2,62.7,58,2776
0.71,Ideal,E,VS2,62.2,57,2776
1.01,Premium,F,I1,61.8,60,2781
0.52,Ideal,,IF,62.2,55,2783
1.01,Fair,E,I1,64.5,58,2788
0.72,Premium,I,IF,,57,2795
0.7,Fair,G,VVS1,58.8,66,2797
,Premium,F,SI2,61,57,2797
0.8,Very Good,H,VS2,63.4,60,2797
1.01,Fair,E,SI2,67.4,60,2797
0.71,Good,F,VS2,63.8,58,2801
0.71,Premium,F,VS2,62.8,57,2801
2.04,,G,SI2,59.9,58,16389
2.14,Premium,H,VS2,61.7,58,16390
2.03,Very Good,I,SI1,62.3,,16392
2.07,Premium,I,SI1,62.9,59,16392
2.11,Premium,H,VS2,60.8,61,16395
